subject, block_type, block, delay_condition, trial, chosen, unchosen, offer_left_image, offer_right_image, exp_value_chosen, exp_value_unchosen, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, coins_per_block, coins_per_task,ITI_duration,rt_deadline,choice_feedback_duration,outcome_duration
55, test, 1, 1, 1, 1, 2, 1, 2, 0, 0.35, left, 1, 0, 0.35, 0, 0, 0.5888458001427352, 0, 0.000000,0.000000,1.000000,6.000000,0.500000,1.000000,62.000000
55, test, 1, 1, 2, 2, 3, 3, 2, 0.35, 0, right, 2, 0, 0.35, 0, 0, 0.5554199998732656, 0, 0.000000,0.000000,1.000000,6.000000,0.500000,1.000000,40.000000
55, test, 1, 1, 3, 1, 2, 2, 1, 0, 0.35, right, 2, 0, 0.35, 0, 0, 0.7685799999162555, 0, 0.000000,0.000000,1.000000,6.000000,0.500000,1.000000,79.000000
55, test, 1, 1, 4, 4, 3, 4, 3, 0, 0, left, 1, 0, 0.35, 0, 0, 0.32703819987364113, 0, 0.000000,0.000000,1.000000,6.000000,0.500000,1.000000,52.000000
55, test, 1, 1, 5, 4, 1, 4, 1, 0, 0, left, 1, 0, 0.35, 0, 0, 0.814678099937737, 0, 0.000000,0.000000,1.000000,6.000000,0.500000,1.000000,99.000000
55, test, 1, 1, 6, 3, 4, 3, 4, 0, 0, left, 1, 0, 0.35, 0, 0, 1.0663411000277847, 0, 0.000000,0.000000,1.000000,6.000000,0.500000,1.000000,8.000000
55, test, 1, 1, 7, 3, 4, 4, 3, 0, 0, right, 2, 0, 0.35, 0, 0, 0.40488529996946454, 0, 0.000000,0.000000,1.000000,6.000000,0.500000,1.000000,63.000000
55, test, 1, 1, 8, 1, 2, 1, 2, 0, 0.35, left, 1, 0, 0.35, 0, 0, 0.33313729986548424, 0, 0.000000,0.000000,1.000000,6.000000,0.500000,1.000000,5.000000
55, test, 1, 1, 9, 4, 3, 3, 4, 0, 0, right, 2, 0, 0.35, 0, 0, 0.39922709995880723, 0, 0.000000,0.000000,1.000000,6.000000,0.500000,1.000000,5.000000
55, test, 1, 1, 10, 4, 2, 4, 2, 0, 0.35, left, 1, 0, 0.35, 0, 0, 0.3778456000145525, 0, 0.000000,0.000000,1.000000,6.000000,0.500000,1.000000,6.000000
