subject, block_type, block, delay_condition, trial, chosen, unchosen, offer_right_image, offer_left_image, exp_value_right, exp_value_left, choice_location, choice_key, exp_value1, exp_value2, exp_value3, exp_value4, RT, reward, coins_per_block, coins_per_task,ITI_duration,rt_deadline,choice_feedback_duration,outcome_duration
10, practice, 1, 1, 1, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.988069800005178, 1, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
10, practice, 1, 1, 2, 2, 1, 1, 2, 0.45, 0.35, right, 2, 0.35, 0.45, 0.55, 0.65, 1.0840804999897955, 0, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
10, practice, 1, 1, 3, 1, 2, 2, 1, 0.35, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 1.6884906999912346, 0, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
10, practice, 1, 1, 4, 2, 4, 2, 4, 0.45, 0.65, left, 1, 0.35, 0.45, 0.55, 0.65, 0.6343063000094844, 0, 1.000000,1.000000,1.000000,6.000000,0.500000,1.000000
10, practice, 1, 1, 5, 1, 2, 2, 1, 0.35, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.22027009999146685, 1, 2.000000,2.000000,1.000000,6.000000,0.500000,1.000000
10, test, 1, 1, 1, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 0.6910562999983085, 1, 1.000000,3.000000,1.000000,6.000000,0.500000,1.000000
10, test, 1, 1, 2, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.43569189999834634, 0, 1.000000,3.000000,1.000000,6.000000,0.500000,1.000000
10, test, 1, 1, 3, 4, 3, 3, 4, 0.65, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.37181199999758974, 0, 1.000000,3.000000,1.000000,6.000000,0.500000,1.000000
10, test, 1, 1, 4, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.637189799992484, 1, 2.000000,4.000000,1.000000,6.000000,0.500000,1.000000
10, test, 1, 1, 5, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.34026499999163207, 0, 2.000000,4.000000,1.000000,6.000000,0.500000,1.000000
10, test, 1, 1, 6, 4, 2, 4, 2, 0.65, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 0.8923953999910736, 1, 3.000000,5.000000,1.000000,6.000000,0.500000,1.000000
10, test, 1, 1, 7, 2, 1, 2, 1, 0.45, 0.35, left, 1, 0.35, 0.45, 0.55, 0.65, 1.1569451999966986, 1, 4.000000,6.000000,1.000000,6.000000,0.500000,1.000000
10, test, 1, 1, 8, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 0.5064503999892622, 0, 4.000000,6.000000,1.000000,6.000000,0.500000,1.000000
10, test, 1, 1, 9, 1, 3, 3, 1, 0.35, 0.55, right, 2, 0.35, 0.45, 0.55, 0.65, 0.4993236000009347, 0, 4.000000,6.000000,1.000000,6.000000,0.500000,1.000000
10, test, 1, 1, 10, 3, 2, 2, 3, 0.55, 0.45, right, 2, 0.35, 0.45, 0.55, 0.65, 0.975370500003919, 1, 5.000000,7.000000,1.000000,6.000000,0.500000,1.000000
10, test, 1, 1, 11, 4, 2, 4, 2, 0.65, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 4.405563499996788, 0, 5.000000,7.000000,1.000000,6.000000,0.500000,1.000000
10, test, 1, 1, 12, 2, 3, 2, 3, 0.45, 0.55, left, 1, 0.35, 0.45, 0.55, 0.65, 1.086157199999434, 0, 5.000000,7.000000,1.000000,6.000000,0.500000,1.000000
10, test, 1, 1, 13, 1, 2, 1, 2, 0.35, 0.45, left, 1, 0.35, 0.45, 0.55, 0.65, 1.760739300007117, 1, 6.000000,8.000000,1.000000,6.000000,0.500000,1.000000
